Date,Open,High,Low,Close
30-Apr-2018,"9426,11","9477,14","9166,81","9240,55"
29-Apr-2018,"9346,41","9531,49","9193,71","9419,08"
28-Apr-2018,"8939,27","9412,09","8931,99","9348,48"
27-Apr-2018,"9290,63","9375,47","8987,05","8987,05"
26-Apr-2018,"8867,32","9281,51","8727,09","9281,51"
25-Apr-2018,"9701,03","9745,32","8799,84","8845,74"
24-Apr-2018,"8934,34","9732,61","8927,83","9697,5"
23-Apr-2018,"8794,39","8958,55","8788,81","8930,88"
22-Apr-2018,"8925,06","9001,64","8779,61","8802,46"
21-Apr-2018,"8848,79","8997,57","8652,15","8895,58"
20-Apr-2018,"8286,88","8880,23","8244,54","8845,83"
19-Apr-2018,"8159,27","8298,69","8138,78","8294,31"
18-Apr-2018,"7944,43","8197,8","7886,01","8163,42"
17-Apr-2018,"8071,66","8285,96","7881,72","7902,09"
16-Apr-2018,"8337,57","8371,15","7925,73","8058,67"
15-Apr-2018,"7999,33","8338,42","7999,33","8329,11"
14-Apr-2018,"7874,67","8140,71","7846","7986,24"
13-Apr-2018,"7901,09","8183,96","7758,93","7895,96"
12-Apr-2018,"6955,38","7899,23","6806,51","7889,25"
11-Apr-2018,"6843,47","6968,32","6817,59","6968,32"
10-Apr-2018,"6795,44","6872,41","6704,15","6834,76"
09-Apr-2018,"7044,32","7178,11","6661,99","6770,73"
08-Apr-2018,"6919,98","7111,56","6919,98","7023,52"
07-Apr-2018,"6630,51","7050,54","6630,51","6911,09"
06-Apr-2018,"6815,96","6857,49","6575","6636,32"
05-Apr-2018,"6848,65","6933,82","6644,8","6811,47"
04-Apr-2018,"7456,41","7469,88","6803,88","6853,84"
03-Apr-2018,"7102,26","7530,94","7072,49","7456,11"
02-Apr-2018,"6844,86","7135,47","6816,58","7083,8"
01-Apr-2018,"7003,06","7060,95","6526,87","6844,23"
31-Mar-2018,"6892,48","7207,85","6863,52","6973,53"
30-Mar-2018,"7171,45","7276,66","6683,93","6890,52"
29-Mar-2018,"7979,07","7994,33","7081,38","7165,7"
28-Mar-2018,"7836,83","8122,89","7809,17","7954,48"
27-Mar-2018,"8200","8232,78","7797,28","7833,04"
26-Mar-2018,"8498,47","8530,08","7921,43","8209,4"
25-Mar-2018,"8612,81","8682,01","8449,1","8495,78"
24-Mar-2018,"8901,95","8996,18","8665,7","8668,12"
23-Mar-2018,"8736,25","8879,62","8360,62","8879,62"
22-Mar-2018,"8939,44","9100,71","8564,9","8728,47"
21-Mar-2018,"8937,48","9177,37","8846,33","8929,28"
20-Mar-2018,"8619,67","9051,02","8389,89","8913,47"
19-Mar-2018,"8344,12","8675,87","8182,4","8630,65"
18-Mar-2018,"7890,52","8245,51","7397,99","8223,68"
17-Mar-2018,"8321,91","8346,53","7812,82","7916,88"
16-Mar-2018,"8322,91","8585,15","8005,31","8338,35"
15-Mar-2018,"8290,76","8428,35","7783,05","8300,86"
14-Mar-2018,"9214,65","9355,85","8068,59","8269,81"
13-Mar-2018,"9173,04","9470,38","8958,19","9194,85"
12-Mar-2018,"9602,93","9937,5","8956,43","9205,12"
11-Mar-2018,"8852,78","9711,89","8607,12","9578,63"
10-Mar-2018,"9350,59","9531,32","8828,47","8866"
09-Mar-2018,"9414,69","9466,35","8513,03","9337,55"
08-Mar-2018,"9951,44","10147,4","9335,87","9395,01"
07-Mar-2018,"10803,9","10929,5","9692,12","9965,57"
06-Mar-2018,"11500,1","11500,1","10694,3","10779,9"
05-Mar-2018,"11532,4","11704,1","11443,9","11573,3"
04-Mar-2018,"11497,4","11512,6","11136,1","11512,6"
03-Mar-2018,"11101,9","11528,2","11002,4","11489,7"
02-Mar-2018,"10977,4","11189","10850,1","11086,4"
01-Mar-2018,"10385","11052,3","10352,7","10951"
28-Feb-2018,"10687,2","11089,8","10393,1","10397,9"
27-Feb-2018,"10393,9","10878,5","10246,1","10725,6"
26-Feb-2018,"9669,43","10475","9501,73","10366,7"
25-Feb-2018,"9796,42","9923,22","9407,06","9664,73"
24-Feb-2018,"10287,7","10597,2","9546,97","9813,07"
23-Feb-2018,"9937,07","10487,3","9734,56","10301,1"
22-Feb-2018,"10660,4","11039,1","9939,09","10005"
21-Feb-2018,"11372,2","11418,5","10479,1","10690,4"
20-Feb-2018,"11231,8","11958,5","11231,8","11403,7"
19-Feb-2018,"10552,6","11273,8","10513,2","11225,3"
18-Feb-2018,"11123,4","11349,8","10326","10551,8"
17-Feb-2018,"10207,5","11139,5","10149,4","11112,7"
16-Feb-2018,"10135,7","10324,1","9824,82","10233,9"
15-Feb-2018,"9488,32","10234,8","9395,58","10166,4"
14-Feb-2018,"8599,92","9518,54","8599,92","9494,63"
13-Feb-2018,"8926,72","8958,47","8455,41","8598,31"
12-Feb-2018,"8141,43","8985,92","8141,43","8926,57"
11-Feb-2018,"8616,13","8616,13","7931,1","8129,97"
10-Feb-2018,"8720,08","9122,55","8295,47","8621,9"
